"GeneratedAtUtc","FilesAnalyzed","ReportPath","TotalLaunchEvents","UniqueSites","MaxObservedStreak","ViolationCount","Pass"
"01/01/2026 21:13:09","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics.json","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\ParserSchedulerLaunch.json","2","2","1","0","True"
"01/01/2026 21:13:09","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"01/01/2026 21:13:10","C:\Users\Werem\AppData\Local\Temp\dc225dc3-1ea3-4d0b-84e5-32189d7c2a0e\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20260101-141310.json","0","0","0","0","True"
"01/01/2026 21:13:37","C:\Users\Werem\AppData\Local\Temp\aa54c046-2b9f-4558-8f31-fe44c84c6c2a\metrics.json","C:\Users\Werem\AppData\Local\Temp\aa54c046-2b9f-4558-8f31-fe44c84c6c2a\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20260101-141336.json","1","1","1","0","True"
"01/01/2026 21:54:00","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics.json","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\ParserSchedulerLaunch.json","2","2","1","0","True"
"01/01/2026 21:54:00","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"01/01/2026 21:54:01","C:\Users\Werem\AppData\Local\Temp\a9e9c0cd-5aea-4824-a7bf-980950d0361c\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20260101-145401.json","0","0","0","0","True"
"01/01/2026 21:54:36","C:\Users\Werem\AppData\Local\Temp\da70f4c0-48c3-4ce8-87e7-0f3705aa2736\metrics.json","C:\Users\Werem\AppData\Local\Temp\da70f4c0-48c3-4ce8-87e7-0f3705aa2736\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20260101-145436.json","1","1","1","0","True"
"01/01/2026 22:21:31","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\metrics.json","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\ParserSchedulerLaunch.json","2","2","1","0","True"
"01/01/2026 22:21:31","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\edc4a24b-eb0a-42ed-b812-251162770bb0\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
