"GeneratedAtUtc","SourceTelemetryPath","SummaryPath","SampleCount","AverageQueueDelayMs","QueueDelayP95Ms","QueueDelayP99Ms","Pass"
"12/26/2025 23:01:25","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 23:01:25","C:\Users\Werem\AppData\Local\Temp\45aeb8e0-071a-4c14-b652-c3af4390e66b\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-160125.json","10","10","10","10","True"
"12/26/2025 23:02:51","C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\metrics.json","C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-160251.json","10","10","10","10","True"
"12/26/2025 23:27:44","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\SyntheticSmoke\Synthetic-5.1\QueueDelaySummary-smoke-20251226-162743.json","10","11","12.55","12.91","True"
"12/26/2025 23:28:51","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics.json","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 23:28:51","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 23:28:52","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-162852.json","10","10","10","10","True"
"12/26/2025 23:30:25","C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\metrics.json","C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\OutputRoot\Logs\IngestionMetrics\SyntheticSmoke\Synthetic\QueueDelaySummary-smoke-20251226-163025.json","10","10","10","10","True"
"12/26/2025 23:36:11","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics.json","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 23:36:12","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 23:36:12","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-163612.json","10","10","10","10","True"
"12/26/2025 23:39:52","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics.json","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 23:39:53","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 23:39:53","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-163953.json","10","10","10","10","True"
"12/26/2025 23:43:02","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics.json","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\QueueDelaySummary.json","10","10","10","10","True"
"12/26/2025 23:43:02","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/26/2025 23:43:02","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-164302.json","10","10","10","10","True"
"12/26/2025 23:44:51","C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\metrics.json","C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251226-164451.json","10","10","10","10","True"
"12/27/2025 16:07:14","C:\Users\Werem\AppData\Local\Temp\880d8c9f-2c20-4611-9a2d-5a5ce6c3e95f\metrics.json","C:\Users\Werem\AppData\Local\Temp\880d8c9f-2c20-4611-9a2d-5a5ce6c3e95f\QueueDelaySummary.json","10","10","10","10","True"
"12/27/2025 16:07:15","C:\Users\Werem\AppData\Local\Temp\880d8c9f-2c20-4611-9a2d-5a5ce6c3e95f\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\880d8c9f-2c20-4611-9a2d-5a5ce6c3e95f\QueueDelaySummary-existing.json","10","10","10","10","True"
"12/27/2025 16:07:15","C:\Users\Werem\AppData\Local\Temp\880d8c9f-2c20-4611-9a2d-5a5ce6c3e95f\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-090715.json","10","10","10","10","True"
"12/27/2025 16:07:29","C:\Users\Werem\AppData\Local\Temp\65ba526f-cae1-4f08-aa54-43c616c17316\metrics.json","C:\Users\Werem\AppData\Local\Temp\65ba526f-cae1-4f08-aa54-43c616c17316\OutputRoot\Logs\IngestionMetrics\QueueDelaySummary-smoke-20251227-090729.json","10","10","10","10","True"
"12/27/2025 16:27:07","C:\Users\Werem\AppData\Local\Temp\70884581-81d3-4e12-8818-9b4d0bd3eeb4\metrics.json","C:\Users\Werem\AppData\Local\Temp\70884581-81d3-4e12-8818-9b4d0bd3eeb4\QueueDelaySummary.json","10","10","10","10","True"
