"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-12","0","7.259","0.019","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","20.309","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-52","0","23.194","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","21.772","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","23.065","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","25.321","0.017","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","26.581","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","24.34","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","4.264","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","21.087","0.017","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","21.249","0.016","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.228","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","23.835","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","22.686","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.242","0.127","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","24.243","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","4.092","0.015","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","8.42","0.019","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","5.203","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.191","0.014","10","SharedCache","SharedCacheMatch"
