"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-22","0","4.107","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","23.927","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","24.229","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","27.435","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","21.556","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.136","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","24.806","0.028","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","20.534","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-32","0","23.007","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","4.013","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","24.462","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","6.782","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","20.78","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","21.745","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","21.258","0.018","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-35","0","6.628","0.012","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.472","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","24.726","0.016","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","24.809","0.019","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","4.052","0.012","10","SharedCache","SharedCacheMatch"
