"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A01-AS-31","0","24.731","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","7.403","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.012","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","21.894","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","20.688","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","23.775","0.018","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","22.763","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","26.719","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","24.448","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-15","0","25.539","0.026","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","24.572","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","22.745","0.028","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.103","0.016","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","4.346","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-35","0","4.049","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","22.88","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","24.755","0.079","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","23.923","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","21.611","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.761","0.012","10","SharedCache","SharedCacheMatch"
