"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A05-AS-25","0","24.819","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","6.404","0.017","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","24.888","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.851","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","24.686","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","22.238","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-33","0","25.439","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","24.905","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","26.64","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.246","0.015","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","7.49","0.023","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","23.952","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-22","0","4.581","0.015","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","4.516","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","24.772","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","26.008","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","23.19","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","25.241","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-15","0","25.787","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","4.308","0.014","10","SharedCache","SharedCacheMatch"
