"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-22","0","4.628","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.244","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","4.688","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","24.93","0.025","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-35","0","4.128","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","22.265","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","7.262","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","24.183","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","25.958","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","26.359","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","24.543","0.029","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","26.138","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","26.332","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","6.793","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-15","0","21.844","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-32","0","25.026","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","24.074","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","21.333","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","25.269","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","27.065","0.025","48","SharedCache","SharedCacheMatch"
