"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A01-AS-41","0","20.439","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","20.71","0.019","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","24.818","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-35","0","4.666","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","4.069","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-15","0","20.22","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","21.06","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","21.081","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.082","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","24.06","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","4.048","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","20.332","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","24.841","0.021","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","4.317","0.013","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.074","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","20.606","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","20.781","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-52","0","24.822","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","4.008","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","23.911","0.021","48","SharedCache","SharedCacheMatch"
