"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"WLLS","WLLS-A05-AS-55","0","26.134","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-22","0","4.709","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","21.548","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","4.082","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","24.237","0.026","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.704","0.012","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-52","0","4.114","0.012","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-33","0","26.192","0.016","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","24.427","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-05","0","21.9","0.029","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","4.078","0.013","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","27.456","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-35","0","26.648","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","29.803","0.03","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","24.629","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","24.17","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","25.777","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-52","0","24.512","0.018","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.521","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","21.707","0.023","48","SharedCache","SharedCacheMatch"
