"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-52","0","4.573","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","22.931","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-02","0","4.46","0.017","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","26.244","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","25.257","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.823","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","24.61","0.02","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-55","0","5.394","0.015","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-55","0","26.418","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","26.046","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-52","0","27.397","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","24.864","0.017","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","4.391","0.015","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-35","0","4.338","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-25","0","5.192","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","25.998","0.019","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","25.176","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","27.589","0.019","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","4.425","0.014","10","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-12","0","8.303","0.018","10","SharedCache","SharedCacheMatch"
