"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-42","0","4.272","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-12","0","26.99","0.029","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","26.539","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","57.5","0.038","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-05","0","4.943","0.017","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","23.604","0.028","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","26.913","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-25","0","165.98","0.08","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","21.628","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-11","0","25.149","0.035","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-22","0","4.871","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-33","0","152.238","0.095","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-03","0","135.848","0.082","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-15","0","4.546","0.017","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","20.959","0.02","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","25.701","0.027","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","190.374","0.082","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","4.454","0.017","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-02","0","75.967","0.026","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","170.076","0.078","48","SharedCache","SharedCacheMatch"
