"Site","Hostname","DiffComparisonMs","DiffDurationMs","LoadExistingMs","RowSetCount","Provider","ProviderReason"
"BOYO","BOYO-A05-AS-52","0","4.108","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-21","0","25.946","0.023","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-32","0","26.819","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-52","0","25.645","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-13","0","28.401","0.025","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-43","0","24.326","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-23","0","25.72","0.024","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-22","0","25.78","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-01","0","22.11","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-51","0","25.336","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-32","0","4.578","0.016","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-33","0","24.925","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A07-AS-07","0","23.01","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-31","0","21.88","0.021","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A02-AS-42","0","26.755","0.023","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-45","0","4.368","0.014","10","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A01-AS-41","0","30.851","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A03-AS-53","0","24.469","0.022","48","SharedCache","SharedCacheMatch"
"WLLS","WLLS-A05-AS-45","0","24.134","0.022","48","SharedCache","SharedCacheMatch"
"BOYO","BOYO-A05-AS-42","0","4.292","0.013","10","SharedCache","SharedCacheMatch"
