"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UiCloneP95","StreamDispatchP95","DiffDurationP95","SiteCacheUpdateP95","HottestSite","HottestSiteUiClone","HottestHost","HottestHostUiClone"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\SyntheticSmoke\Synthetic-5.1\InterfaceSyncTiming-smoke-20251226-162743.json","12/26/2025 11:27:44 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\InterfaceSyncTiming.json","12/26/2025 11:28:51 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\InterfaceSyncTiming-existing.json","12/26/2025 11:28:51 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-162852.json","12/26/2025 11:28:52 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-missing-report.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\OutputRoot\Logs\Reports\SyntheticSmoke\Synthetic\InterfaceSyncTiming-smoke-20251226-163025.json","12/26/2025 11:30:25 PM","C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\metrics.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\InterfaceSyncTiming-smoke-20251226-163025.json","12/26/2025 11:30:25 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\SmokeDefault\Logs\Reports\SyntheticSmoke\Synthetic\InterfaceSyncTiming-smoke-20251226-163227.json","12/26/2025 11:32:28 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\SmokeDefault2\Logs\Reports\SyntheticSmoke\Synthetic\InterfaceSyncTiming-smoke-20251226-163307.json","12/26/2025 11:33:08 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\InterfaceSyncTiming.json","12/26/2025 11:36:11 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\InterfaceSyncTiming-existing.json","12/26/2025 11:36:12 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-existing.json","1","1","1","1","2","BOYO","1","BOYO-A01-AS-01","1"
