"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UniqueHosts","TotalPorts","PortsPerMinute","AvgPortsPerBatch","BatchIntervalP95","UiCloneP95","StreamDispatchP95","DiffDurationP95"
"C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251226-160251.json","12/26/2025 11:02:51 PM","C:\Users\Werem\AppData\Local\Temp\e88605b3-4e7f-411d-b207-2ef3b0f22e67\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-160328.json","12/26/2025 11:03:39 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","3663","37","115714","418.549","31.59","88960.80248","32.0625","0.39125","45.214"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251226-162743.json","12/26/2025 11:27:44 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\PortBatchReady.json","12/26/2025 11:28:51 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\PortBatchReady-existing.json","12/26/2025 11:28:51 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-162852.json","12/26/2025 11:28:52 PM","C:\Users\Werem\AppData\Local\Temp\6df17273-98a8-4a90-9c61-e5c2bf66fb2b\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\OutputRoot\Logs\Reports\SyntheticSmoke\Synthetic\PortBatchReady-smoke-20251226-163025.json","12/26/2025 11:30:25 PM","C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\796989fd-a9f5-4ee2-a8fe-7673de728639\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251226-163025.json","12/26/2025 11:30:25 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\SmokeDefault\Logs\Reports\SyntheticSmoke\Synthetic\PortBatchReady-smoke-20251226-163227.json","12/26/2025 11:32:28 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\SmokeDefault2\Logs\Reports\SyntheticSmoke\Synthetic\PortBatchReady-smoke-20251226-163307.json","12/26/2025 11:33:08 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\PortBatchReady.json","12/26/2025 11:36:11 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\PortBatchReady-existing.json","12/26/2025 11:36:12 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-163612.json","12/26/2025 11:36:12 PM","C:\Users\Werem\AppData\Local\Temp\8f0b1154-84a3-45a6-8e56-3ad9a6e88f97\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\dd85a0cc-3f96-4ce2-a71d-f1bd6d466fda\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251226-163805.json","12/26/2025 11:38:05 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\PortBatchReady.json","12/26/2025 11:39:52 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-163953.json","12/26/2025 11:39:53 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\PortBatchReady-existing.json","12/26/2025 11:39:53 PM","C:\Users\Werem\AppData\Local\Temp\05dab7f4-4e40-4e54-a2d9-4d86309edeb2\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\f1351456-24d1-4e15-baae-0cc9cbf2dfb7\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251226-164120.json","12/26/2025 11:41:20 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\PortBatchReady-existing.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-existing.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-164302.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics-missing-report.json","1","1","5","","5","","","",""
"C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\PortBatchReady.json","12/26/2025 11:43:02 PM","C:\Users\Werem\AppData\Local\Temp\286d2632-b600-4b32-8e68-ad22cf8e9026\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\OutputRoot\Logs\Reports\PortBatchReady-smoke-20251226-164451.json","12/26/2025 11:44:51 PM","C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\metrics.json","1","1","5","","5","","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-12.json","2025-12-12T21:52:55.9988534Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-12.json","0","0","0","","","","0.0","0.0","11.84115"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-20.json","2025-12-20T20:58:04.1107904Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-20.json","0","0","0","","","","0.0","0.0","12.9495"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-21.json","2025-12-21T13:55:45.0466870Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-21.json","36","36","1310","1890.161","36.389","1626.22429","32.07105","0.50455","40.1222"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-22.json","2025-12-22T14:13:11.9405432Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","0","0","0","","","","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-23.json","2025-12-23T19:23:08.9856383Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-23.json","24","24","1106","8680.689","46.083","376.76497","33.7722","0.3483","57.1386"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-24.json","2025-12-24T16:33:58.1528401Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-24.json","0","0","0","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\PortBatchReady-smoke-20251226-164451.json","12/26/2025 11:44:52 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","4","4","20","400","5","1000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-144928.json","12/26/2025 9:49:38 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","3663","37","115714","418.549","31.59","88960.80248","32.47035","0.39215","45.54895"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-smoke-20251226-145135.json","12/26/2025 9:51:42 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","3663","37","115714","418.549","31.59","88960.80248","32.47035","0.39215","45.54895"
"C:\Users\Werem\AppData\Local\Temp\b26d0525-c053-4f3d-8c92-0147b8c20aaf\PortBatchReady.json","12/26/2025 9:52:58 PM","C:\Users\Werem\AppData\Local\Temp\b26d0525-c053-4f3d-8c92-0147b8c20aaf\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\PortBatchReady.json","12/26/2025 9:56:13 PM","C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\metrics.json","2","2","10","60","5","10000","1","1","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-05.json","2025-12-06T01:23:46.7444802Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-05.json","39","39","1278","1510.769","32.769","1764.787","240.749","27.407","38.078"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-07.json","2025-12-07T11:42:34.1504239Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-07.json","2","2","12","745.969","6.0","965.1873","45.962","16.27035","41.0596"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-10.json","2025-12-10T19:32:28.6030609Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-10.json","2","2","12","356.131","6.0","2021.7307","0.0","0.0","20.3922"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\PortBatchReady-2025-12-26.json","2025-12-26T15:05:08.7351550Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","0","0","0","","","","","",""
