"GeneratedAtUtc","FilesAnalyzed","ReportPath","TotalLaunchEvents","UniqueSites","MaxObservedStreak","ViolationCount","Pass"
"12/30/2025 23:10:34","C:\Users\Werem\AppData\Local\Temp\79cb5b3e-11c9-459b-a6ee-6403a7ec8e55\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-161034.json","0","0","0","0","True"
"12/30/2025 23:10:51","C:\Users\Werem\AppData\Local\Temp\4fe6cf86-7d00-4fd4-9064-1fdd0e9237b2\metrics.json","C:\Users\Werem\AppData\Local\Temp\4fe6cf86-7d00-4fd4-9064-1fdd0e9237b2\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-161051.json","1","1","1","0","True"
"12/30/2025 23:19:43","C:\Users\Werem\AppData\Local\Temp\e6d4d9a4-ece4-4bc5-9c5f-7a106657cc29\metrics.json","C:\Users\Werem\AppData\Local\Temp\e6d4d9a4-ece4-4bc5-9c5f-7a106657cc29\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/30/2025 23:19:43","C:\Users\Werem\AppData\Local\Temp\e6d4d9a4-ece4-4bc5-9c5f-7a106657cc29\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\e6d4d9a4-ece4-4bc5-9c5f-7a106657cc29\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/30/2025 23:19:44","C:\Users\Werem\AppData\Local\Temp\e6d4d9a4-ece4-4bc5-9c5f-7a106657cc29\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-161944.json","0","0","0","0","True"
"12/30/2025 23:20:02","C:\Users\Werem\AppData\Local\Temp\93758915-3708-46f5-b574-8a40936cadcc\metrics.json","C:\Users\Werem\AppData\Local\Temp\93758915-3708-46f5-b574-8a40936cadcc\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-162002.json","1","1","1","0","True"
"12/31/2025 00:09:17","C:\Users\Werem\AppData\Local\Temp\7ea099ff-46ff-4f23-802f-c9079b92ace1\metrics.json","C:\Users\Werem\AppData\Local\Temp\7ea099ff-46ff-4f23-802f-c9079b92ace1\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 00:09:17","C:\Users\Werem\AppData\Local\Temp\7ea099ff-46ff-4f23-802f-c9079b92ace1\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\7ea099ff-46ff-4f23-802f-c9079b92ace1\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 00:09:18","C:\Users\Werem\AppData\Local\Temp\7ea099ff-46ff-4f23-802f-c9079b92ace1\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-170918.json","0","0","0","0","True"
"12/31/2025 00:09:46","C:\Users\Werem\AppData\Local\Temp\46534cc9-9043-482f-90ff-ddc8ef26a845\metrics.json","C:\Users\Werem\AppData\Local\Temp\46534cc9-9043-482f-90ff-ddc8ef26a845\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-170946.json","1","1","1","0","True"
"12/31/2025 01:56:15","C:\Users\Werem\AppData\Local\Temp\e4656b3b-a073-4411-ad6e-e5f7f61f6968\metrics.json","C:\Users\Werem\AppData\Local\Temp\e4656b3b-a073-4411-ad6e-e5f7f61f6968\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 01:56:16","C:\Users\Werem\AppData\Local\Temp\e4656b3b-a073-4411-ad6e-e5f7f61f6968\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\e4656b3b-a073-4411-ad6e-e5f7f61f6968\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 01:56:16","C:\Users\Werem\AppData\Local\Temp\e4656b3b-a073-4411-ad6e-e5f7f61f6968\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-185616.json","0","0","0","0","True"
"12/31/2025 01:56:41","C:\Users\Werem\AppData\Local\Temp\fc67e77d-146e-4f5d-afe7-7612d39eef37\metrics.json","C:\Users\Werem\AppData\Local\Temp\fc67e77d-146e-4f5d-afe7-7612d39eef37\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-185641.json","1","1","1","0","True"
"12/31/2025 01:59:30","C:\Users\Werem\AppData\Local\Temp\4b5b356e-fa44-4b72-b882-764d331023aa\metrics.json","C:\Users\Werem\AppData\Local\Temp\4b5b356e-fa44-4b72-b882-764d331023aa\ParserSchedulerLaunch.json","2","2","1","0","True"
"12/31/2025 01:59:30","C:\Users\Werem\AppData\Local\Temp\4b5b356e-fa44-4b72-b882-764d331023aa\metrics-existing.json","C:\Users\Werem\AppData\Local\Temp\4b5b356e-fa44-4b72-b882-764d331023aa\ParserSchedulerLaunch-existing.json","1","1","1","0","True"
"12/31/2025 01:59:30","C:\Users\Werem\AppData\Local\Temp\4b5b356e-fa44-4b72-b882-764d331023aa\metrics-missing-report.json","C:\Users\Werem\Projects\StateTrace\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-185930.json","0","0","0","0","True"
"12/31/2025 02:01:32","C:\Users\Werem\AppData\Local\Temp\4d636727-6a99-486c-8d05-5eaff8284f65\metrics.json","C:\Users\Werem\AppData\Local\Temp\4d636727-6a99-486c-8d05-5eaff8284f65\OutputRoot\Logs\Reports\ParserSchedulerLaunch-smoke-20251230-190132.json","1","1","1","0","True"
